Constituency,Constituency No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Round,Status,Lead_Party_Name,Trail_Party_Name,District
Udhagamandalam,108,BHOJARAJAN.M,Bharatiya Janata Party,IBRAHIM.R,Tamilaga Vettri Kazhagam,976,21/21,Result Declared,BJP,TVK,Nilgiris
Udumalaipettai,125,JAYAKUMAR M.,Dravida Munnetra Kazhagam,RADHAKRISHNAN K.,All India Anna Dravida Munnetra Kazhagam,2882,22/22,Result Declared,DMK,AIADMK,Tiruppur
Ulundurpettai,77,VASANTHAVEL G R,Dravida Munnetra Kazhagam,KUMARAGURU R,All India Anna Dravida Munnetra Kazhagam,2277,29/29,Result Declared,DMK,AIADMK,Kallakurichi
Usilampatti,197,VIJAY. M,Tamilaga Vettri Kazhagam,MAHENDRAN. I,All India Anna Dravida Munnetra Kazhagam,1805,25/25,Result Declared,TVK,AIADMK,Theni
Uthangarai,51,N ELAIYARAJA,Tamilaga Vettri Kazhagam,T M TAMILSELVAM,All India Anna Dravida Munnetra Kazhagam,5198,25/25,Result Declared,TVK,AIADMK,Krishnagiri
Uthiramerur,36,MUNIRATHINAM.J,Tamilaga Vettri Kazhagam,SUNDAR.K,Dravida Munnetra Kazhagam,14223,24/24,Result Declared,TVK,DMK,Kancheepuram
Valparai,124,KUTTY (ALIAS) SUDHAKAR. A,Dravida Munnetra Kazhagam,DR. SRIDHARAN. A,Tamilaga Vettri Kazhagam,9371,19/19,Result Declared,DMK,TVK,Coimbatore
Vandavasi,69,AMBETHKUMAR. S,Dravida Munnetra Kazhagam,RANI. P,All India Anna Dravida Munnetra Kazhagam,3333,21/21,Result Declared,DMK,AIADMK,Tiruvannamalai
Vaniyambadi,47,SYED FAROOQ BASHA SSB,Indian Union Muslim League,SYED BHURHANUDEEN,Tamilaga Vettri Kazhagam,2982,24/24,Result Declared,IUML,TVK,Tirupattur
Vanur,73,GOWTHAM D,Dravida Munnetra Kazhagam,SURESH P,Tamilaga Vettri Kazhagam,7034,23/23,Result Declared,DMK,TVK,Viluppuram
Vasudevanallur,220,E. RAJA,Dravida Munnetra Kazhagam,ANANTHAN AYYASAMY,Bharatiya Janata Party,6583,23/23,Result Declared,DMK,BJP,Tenkasi
Vedaranyam,165,MANIAN. O.S,All India Anna Dravida Munnetra Kazhagam,PUGAZHENDI. M,Dravida Munnetra Kazhagam,7331,18/18,Result Declared,AIADMK,DMK,Nagapattinam
Vedasandur,133,SAMINATHAN. T,Dravida Munnetra Kazhagam,PARAMASIVAM. V.P.B.,All India Anna Dravida Munnetra Kazhagam,10063,27/27,Result Declared,DMK,AIADMK,Karur
Veerapandi,91,PALANIVEL. M.S,Tamilaga Vettri Kazhagam,SRI BALAJI SUGUMAR. S,All India Anna Dravida Munnetra Kazhagam,4071,23/23,Result Declared,TVK,AIADMK,Salem
Velachery,26,KUMAR. R,Tamilaga Vettri Kazhagam,ASHOK. M.K,All India Anna Dravida Munnetra Kazhagam,33305,23/23,Result Declared,TVK,AIADMK,Chennai
Vellore,43,M.M.VINOTH KANNAN,Tamilaga Vettri Kazhagam,P.KARTHIKEYAN,Dravida Munnetra Kazhagam,6777,22/22,Result Declared,TVK,DMK,Vellore
Veppanahalli,54,SRINIVASAN.P.S,Dravida Munnetra Kazhagam,MUNUSAMY.K.P,All India Anna Dravida Munnetra Kazhagam,138,27/27,Result Declared,DMK,AIADMK,Krishnagiri
Vikravandi,75,SIVAKUMAR C,Pattali Makkal Katchi,VIJAI VADIVEL A,Tamilaga Vettri Kazhagam,910,23/23,Result Declared,PMK,TVK,Viluppuram
Vilathikulam,213,MARKANDAYAN G V,Dravida Munnetra Kazhagam,P. KASIRAM,Tamilaga Vettri Kazhagam,8228,20/20,Result Declared,DMK,TVK,Thoothukudi
Vilavancode,233,PRAVEEN T.T,Indian National Congress,MICHAEL KUMAR K,Tamilaga Vettri Kazhagam,20970,22/22,Result Declared,INC,TVK,Kanniyakumari
Villivakkam,14,AADHAV ARJUNA,Tamilaga Vettri Kazhagam,KARTHIK MOHAN,Dravida Munnetra Kazhagam,17302,19/19,Result Declared,TVK,DMK,Chennai
Viluppuram,74,LAKSHMANAN R,Dravida Munnetra Kazhagam,MOHANRAJ N,Tamilaga Vettri Kazhagam,4119,24/24,Result Declared,DMK,TVK,Viluppuram
Viralimalai,179,VIJAYABASKAR. C,All India Anna Dravida Munnetra Kazhagam,MURUGESAN. P,Tamilaga Vettri Kazhagam,62073,22/22,Result Declared,AIADMK,TVK,Karur
Virudhunagar,206,SELVAM P,Tamilaga Vettri Kazhagam,VIJAYAPRABHAKAR,Desiya Murpokku Dravida Kazhagam,9391,23/23,Result Declared,TVK,DMDK,Virudhunagar
Virugampakkam,22,SABARINATHAN.R,Tamilaga Vettri Kazhagam,PRABHAKARA RAJA.A.M.V,Dravida Munnetra Kazhagam,27086,24/24,Result Declared,TVK,DMK,Chennai
Vriddhachalam,152,PREMALLATHA VIJAYAKANT,Desiya Murpokku Dravida Kazhagam,VIJAY.S,Tamilaga Vettri Kazhagam,2387,24/24,Result Declared,DMDK,TVK,Cuddalore
Yercaud,83,USHARANI. P,All India Anna Dravida Munnetra Kazhagam,LAKSHMI JANARTHANAN. J,Tamilaga Vettri Kazhagam,2189,25/25,Result Declared,AIADMK,TVK,Salem
