Constituency,Constituency No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Round,Status,Lead_Party_Name,Trail_Party_Name,District
Melur,188,P.VISWANATHAN,Indian National Congress,A.MADURAIVEERAN,Tamilaga Vettri Kazhagam,2724,21/21,Result Declared,INC,TVK,Madurai
Mettuppalayam,111,SUNILANAND,Tamilaga Vettri Kazhagam,SMT.KAVITHA KALYANASUNDARAM,Dravida Munnetra Kazhagam,7768,27/27,Result Declared,TVK,DMK,Coimbatore
Mettur,85,VENKATACHALAM. G,All India Anna Dravida Munnetra Kazhagam,MIDHUN CHAKRAVARTHY. M,Dravida Munnetra Kazhagam,19105,30/30,Result Declared,AIADMK,DMK,Dharmapuri
Modakkurichi,100,D.SHANMUGAN,Tamilaga Vettri Kazhagam,S.KIRTHIKA,Bharatiya Janata Party,2430,21/21,Result Declared,TVK,BJP,Erode
Mudhukulathur,212,R.S.RAJAKANNAPPAN,Dravida Munnetra Kazhagam,MALARVIZHI. B,Tamilaga Vettri Kazhagam,16598,31/31,Result Declared,DMK,TVK,Ramanathapuram
Musiri,145,M.VIGNESH,Tamilaga Vettri Kazhagam,N.S.KARUNAIRAAJA,Dravida Munnetra Kazhagam,17442,21/21,Result Declared,TVK,DMK,Tiruchirappalli
Mylapore,25,VENKATARAMANAN. P,Tamilaga Vettri Kazhagam,VELU. DHA,Dravida Munnetra Kazhagam,28972,21/21,Result Declared,TVK,DMK,Chennai
Nagapattinam,163,M.H.JAWAHIRULLAH,Dravida Munnetra Kazhagam,M.SUGUMAR,Tamilaga Vettri Kazhagam,9781,19/19,Result Declared,DMK,TVK,Nagapattinam
Nagercoil,230,AUSTIN,Dravida Munnetra Kazhagam,BERVIN KINGS G,Tamilaga Vettri Kazhagam,7570,23/23,Result Declared,DMK,TVK,Kanniyakumari
Namakkal,94,DILIP C S,Tamilaga Vettri Kazhagam,SRIDEVI MOHAN P S,All India Anna Dravida Munnetra Kazhagam,11008,23/23,Result Declared,TVK,AIADMK,Namakkal
Nanguneri,227,REDDIARPATTI V. NARAYANAN,Tamilaga Vettri Kazhagam,RUBY.R.MANOHARAN,Indian National Congress,16419,25/25,Result Declared,TVK,INC,Tirunelveli
Nannilam,169,KAMARAJ. R,All India Anna Dravida Munnetra Kazhagam,MOHAMED MUBARAK,Dravida Munnetra Kazhagam,41724,25/25,Result Declared,AIADMK,DMK,Thiruvarur
Natham,131,NATHAM VISWANATHAN R,All India Anna Dravida Munnetra Kazhagam,SELVAKUMAR K,Dravida Munnetra Kazhagam,11869,27/27,Result Declared,AIADMK,DMK,Dindigul
